         e_x          e_y          e_z
 -0.72503605   0.62930656   0.27981419
 -0.80892605   0.38959493  -0.44028903
  0.87641198  -0.21083884  -0.43295383
  0.29598648   0.93490060   0.19583890
  0.20658398  -0.37312571   0.90448895
 -0.68374838  -0.48195323  -0.54791353
  0.19028419   0.06935956   0.97927584
  0.42171741   0.70133278  -0.57470580
  0.21914663  -0.96312285  -0.15610614
 -0.74469053  -0.61263918   0.26478151
 -0.37946404  -0.09873595  -0.91992296
 -0.38126804  -0.92019593  -0.08873637
 -0.49332477   0.76258261   0.41844764
  0.24604309   0.43381816   0.86675521
 -0.39570909  -0.84581301  -0.35779137
  0.19712855   0.78142717  -0.59204047
 -0.65459790   0.27793555  -0.70303159
 -0.48143572  -0.09960269  -0.87080362
  0.93746915  -0.09623022  -0.33450162
  0.46885755   0.88324946  -0.00655728
  0.60108990   0.65087890   0.46373223
 -0.47180728  -0.48173790  -0.73846225
  0.54838631  -0.43172560  -0.71616022
 -0.69760407  -0.17771731  -0.69409301
  0.99177140  -0.12668320   0.01846235
  0.17222171   0.12984196   0.97646339
 -0.85549730   0.21551384   0.47082710
  0.64816806  -0.27795759  -0.70895539
  0.03319673  -0.92183616   0.38615550
 -0.61330581   0.56401406  -0.55294134
  0.06821871   0.23829989  -0.96879274
  0.43886988  -0.42145191   0.79358144
  0.82687374  -0.45652139  -0.32843271
 -0.68981469   0.35555248  -0.63066483
 -0.14197950   0.19661595  -0.97014637
 -0.60482291   0.22633362  -0.76351971
 -0.13792862  -0.98891704   0.05494346
  0.16758485   0.81298919  -0.55764137
 -0.70388380  -0.53230302   0.47032020
  0.46305516  -0.87525532  -0.13967121
  0.28702501   0.77171815  -0.56751012
  0.46513604   0.72019320   0.51475258
 -0.32531106   0.80210430  -0.50080076
 -0.09003731  -0.25432935   0.96291737
 -0.74239103   0.23850884  -0.62607435
  0.14527809  -0.70085461  -0.69835312
  0.55322928  -0.34997871  -0.75594462
 -0.46784718   0.78315503   0.40961838
 -0.05328349   0.91361251  -0.40307945
 -0.72462016   0.64389479   0.24561173
