         mode 1          mode 2
   8.462609e-01    4.908773e+00
   8.478261e-01    4.909628e+00
   8.525139e-01    4.912270e+00
   8.603205e-01    4.916696e+00
   8.712393e-01    4.922902e+00
   8.852613e-01    4.930884e+00
   9.023747e-01    4.940636e+00
   9.225652e-01    4.952149e+00
   9.458158e-01    4.965415e+00
   9.721067e-01    4.980423e+00
   1.001416e+00    4.997159e+00
   1.033718e+00    5.015611e+00
   1.068985e+00    5.035761e+00
   1.107186e+00    5.057594e+00
   1.148289e+00    5.081088e+00
   1.192257e+00    5.106224e+00
   1.239052e+00    5.132978e+00
   1.288630e+00    5.161325e+00
   1.340949e+00    5.191239e+00
   1.395960e+00    5.222690e+00
   1.453614e+00    5.255648e+00
   1.513858e+00    5.290079e+00
   1.576635e+00    5.325949e+00
   1.641888e+00    5.363221e+00
   1.709556e+00    5.401855e+00
   1.779575e+00    5.441811e+00
   1.851879e+00    5.483044e+00
   1.926398e+00    5.525511e+00
   2.003063e+00    5.569162e+00
   2.081798e+00    5.613950e+00
   2.162529e+00    5.659822e+00
   2.245178e+00    5.706725e+00
   2.329663e+00    5.754605e+00
   2.415903e+00    5.803403e+00
   2.503814e+00    5.853060e+00
   2.593309e+00    5.903517e+00
   2.684301e+00    5.954711e+00
   2.776700e+00    6.006577e+00
   2.870416e+00    6.059051e+00
   2.965357e+00    6.112064e+00
   3.061428e+00    6.165548e+00
   3.158536e+00    6.219434e+00
   3.256585e+00    6.273651e+00
   3.355478e+00    6.328126e+00
   3.455118e+00    6.382786e+00
   3.555409e+00    6.437557e+00
   3.656251e+00    6.492365e+00
   3.757546e+00    6.547133e+00
   3.859196e+00    6.601787e+00
   3.961102e+00    6.656249e+00
   4.063167e+00    6.710443e+00
   4.165292e+00    6.764292e+00
   4.267379e+00    6.817719e+00
   4.369332e+00    6.870648e+00
   4.471055e+00    6.923002e+00
   4.572452e+00    6.974706e+00
   4.673430e+00    7.025684e+00
   4.773895e+00    7.075861e+00
   4.873757e+00    7.125165e+00
   4.972924e+00    7.173523e+00
   5.071309e+00    7.220863e+00
   5.168826e+00    7.267116e+00
   5.265389e+00    7.312214e+00
   5.360915e+00    7.356089e+00
   5.455325e+00    7.398678e+00
   5.548541e+00    7.439917e+00
   5.640486e+00    7.479747e+00
   5.731088e+00    7.518109e+00
   5.820276e+00    7.554948e+00
   5.907982e+00    7.590211e+00
   5.994141e+00    7.623848e+00
   6.078691e+00    7.655812e+00
   6.161572e+00    7.686058e+00
   6.242728e+00    7.714548e+00
   6.322107e+00    7.741242e+00
   6.399657e+00    7.766108e+00
   6.475331e+00    7.789117e+00
   6.549085e+00    7.810241e+00
   6.620878e+00    7.829460e+00
   6.690671e+00    7.846756e+00
   6.758428e+00    7.862117e+00
   6.824116e+00    7.875534e+00
   6.887704e+00    7.887005e+00
   6.949163e+00    7.896532e+00
   7.008465e+00    7.904125e+00
   7.065583e+00    7.909799e+00
   7.120491e+00    7.913577e+00
   7.173161e+00    7.915491e+00
   7.223560e+00    7.915583e+00
   7.271654e+00    7.913910e+00
   7.317397e+00    7.910540e+00
   7.360730e+00    7.905567e+00
   7.401575e+00    7.899111e+00
   7.439819e+00    7.891331e+00
   7.475302e+00    7.882441e+00
   7.507791e+00    7.872736e+00
   7.536941e+00    7.862629e+00
   7.562253e+00    7.852693e+00
   7.583023e+00    7.843714e+00
   7.598345e+00    7.836683e+00
   7.607262e+00    7.832651e+00
   7.609110e+00    7.832378e+00
   7.609110e+00    7.832378e+00
   7.608598e+00    7.832523e+00
   7.606346e+00    7.833621e+00
   7.602433e+00    7.835607e+00
   7.596974e+00    7.838379e+00
   7.590106e+00    7.841815e+00
   7.581973e+00    7.845786e+00
   7.572713e+00    7.850167e+00
   7.562456e+00    7.854844e+00
   7.551318e+00    7.859717e+00
   7.539400e+00    7.864701e+00
   7.526787e+00    7.869724e+00
   7.513556e+00    7.874729e+00
   7.499770e+00    7.879667e+00
   7.485484e+00    7.884499e+00
   7.470745e+00    7.889196e+00
   7.455595e+00    7.893733e+00
   7.440071e+00    7.898089e+00
   7.424203e+00    7.902252e+00
   7.408022e+00    7.906208e+00
   7.391552e+00    7.909950e+00
   7.374819e+00    7.913471e+00
   7.357843e+00    7.916768e+00
   7.340646e+00    7.919838e+00
   7.323245e+00    7.922679e+00
   7.305660e+00    7.925293e+00
   7.287907e+00    7.927680e+00
   7.270003e+00    7.929842e+00
   7.251963e+00    7.931782e+00
   7.233803e+00    7.933503e+00
   7.215536e+00    7.935009e+00
   7.197178e+00    7.936305e+00
   7.178742e+00    7.937394e+00
   7.160242e+00    7.938282e+00
   7.141692e+00    7.938974e+00
   7.123103e+00    7.939476e+00
   7.104490e+00    7.939792e+00
   7.085865e+00    7.939930e+00
   7.067240e+00    7.939895e+00
   7.048627e+00    7.939692e+00
   7.030040e+00    7.939329e+00
   7.011490e+00    7.938811e+00
   6.992988e+00    7.938146e+00
   6.974547e+00    7.937338e+00
   6.956178e+00    7.936395e+00
   6.937892e+00    7.935324e+00
   6.919702e+00    7.934130e+00
   6.901617e+00    7.932820e+00
   6.883650e+00    7.931401e+00
   6.865812e+00    7.929879e+00
   6.848112e+00    7.928261e+00
   6.830562e+00    7.926552e+00
   6.813172e+00    7.924760e+00
   6.795953e+00    7.922891e+00
   6.778915e+00    7.920950e+00
   6.762069e+00    7.918945e+00
   6.745423e+00    7.916881e+00
   6.728989e+00    7.914765e+00
   6.712775e+00    7.912602e+00
   6.696792e+00    7.910399e+00
   6.681048e+00    7.908161e+00
   6.665553e+00    7.905894e+00
   6.650316e+00    7.903604e+00
   6.635347e+00    7.901296e+00
   6.620652e+00    7.898976e+00
   6.606242e+00    7.896650e+00
   6.592125e+00    7.894322e+00
   6.578308e+00    7.891998e+00
   6.564800e+00    7.889683e+00
   6.551608e+00    7.887382e+00
   6.538741e+00    7.885100e+00
   6.526205e+00    7.882841e+00
   6.514008e+00    7.880610e+00
   6.502157e+00    7.878412e+00
   6.490659e+00    7.876251e+00
   6.479520e+00    7.874131e+00
   6.468746e+00    7.872056e+00
   6.458345e+00    7.870030e+00
   6.448321e+00    7.868057e+00
   6.438680e+00    7.866141e+00
   6.429429e+00    7.864286e+00
   6.420572e+00    7.862493e+00
   6.412115e+00    7.860768e+00
   6.404061e+00    7.859112e+00
   6.396417e+00    7.857530e+00
   6.389185e+00    7.856023e+00
   6.382371e+00    7.854594e+00
   6.375978e+00    7.853246e+00
   6.370010e+00    7.851982e+00
