         mode 1          mode 2
   1.230929e+00    2.540205e+00
   1.232241e+00    2.541527e+00
   1.236157e+00    2.545543e+00
   1.242674e+00    2.552250e+00
   1.251788e+00    2.561643e+00
   1.263493e+00    2.573711e+00
   1.277782e+00    2.588446e+00
   1.294644e+00    2.605832e+00
   1.314070e+00    2.625854e+00
   1.336044e+00    2.648493e+00
   1.360553e+00    2.673726e+00
   1.387577e+00    2.701531e+00
   1.417098e+00    2.731879e+00
   1.449093e+00    2.764739e+00
   1.483538e+00    2.800079e+00
   1.520405e+00    2.837861e+00
   1.559665e+00    2.878047e+00
   1.601287e+00    2.920593e+00
   1.645235e+00    2.965454e+00
   1.691472e+00    3.012581e+00
   1.739959e+00    3.061921e+00
   1.790654e+00    3.113419e+00
   1.843511e+00    3.167018e+00
   1.898484e+00    3.222657e+00
   1.955523e+00    3.280270e+00
   2.014574e+00    3.339791e+00
   2.075585e+00    3.401151e+00
   2.138498e+00    3.464277e+00
   2.203253e+00    3.529093e+00
   2.269789e+00    3.595523e+00
   2.338044e+00    3.663485e+00
   2.407950e+00    3.732898e+00
   2.479442e+00    3.803677e+00
   2.552448e+00    3.875734e+00
   2.626899e+00    3.948982e+00
   2.702721e+00    4.023329e+00
   2.779840e+00    4.098683e+00
   2.858179e+00    4.174950e+00
   2.937662e+00    4.252034e+00
   3.018209e+00    4.329837e+00
   3.099741e+00    4.408263e+00
   3.182177e+00    4.487211e+00
   3.265434e+00    4.566581e+00
   3.349430e+00    4.646271e+00
   3.434082e+00    4.726182e+00
   3.519304e+00    4.806209e+00
   3.605013e+00    4.886252e+00
   3.691124e+00    4.966206e+00
   3.777551e+00    5.045971e+00
   3.864209e+00    5.125442e+00
   3.951013e+00    5.204520e+00
   4.037877e+00    5.283101e+00
   4.124718e+00    5.361085e+00
   4.211450e+00    5.438373e+00
   4.297991e+00    5.514866e+00
   4.384256e+00    5.590467e+00
   4.470164e+00    5.665078e+00
   4.555635e+00    5.738607e+00
   4.640587e+00    5.810961e+00
   4.724943e+00    5.882049e+00
   4.808624e+00    5.951782e+00
   4.891557e+00    6.020074e+00
   4.973666e+00    6.086842e+00
   5.054879e+00    6.152005e+00
   5.135127e+00    6.215484e+00
   5.214340e+00    6.277204e+00
   5.292454e+00    6.337094e+00
   5.369404e+00    6.395083e+00
   5.445129e+00    6.451107e+00
   5.519571e+00    6.505103e+00
   5.592672e+00    6.557014e+00
   5.664381e+00    6.606784e+00
   5.734645e+00    6.654364e+00
   5.803417e+00    6.699705e+00
   5.870652e+00    6.742767e+00
   5.936308e+00    6.783510e+00
   6.000346e+00    6.821900e+00
   6.062730e+00    6.857908e+00
   6.123427e+00    6.891509e+00
   6.182407e+00    6.922681e+00
   6.239645e+00    6.951409e+00
   6.295115e+00    6.977681e+00
   6.348799e+00    7.001490e+00
   6.400679e+00    7.022834e+00
   6.450741e+00    7.041715e+00
   6.498973e+00    7.058141e+00
   6.545368e+00    7.072125e+00
   6.589919e+00    7.083683e+00
   6.632623e+00    7.092839e+00
   6.673479e+00    7.099620e+00
   6.712487e+00    7.104060e+00
   6.749648e+00    7.106202e+00
   6.784962e+00    7.106093e+00
   6.818425e+00    7.103793e+00
   6.850026e+00    7.099376e+00
   6.879736e+00    7.092942e+00
   6.907485e+00    7.084635e+00
   6.933114e+00    7.074699e+00
   6.956219e+00    7.063623e+00
   6.975654e+00    7.052651e+00
   6.987958e+00    7.045342e+00
   6.987106e+00    7.047826e+00
   6.987106e+00    7.047826e+00
   6.985548e+00    7.048985e+00
   6.980885e+00    7.052452e+00
   6.973893e+00    7.057463e+00
   6.965276e+00    7.063329e+00
   6.955507e+00    7.069594e+00
   6.944871e+00    7.075986e+00
   6.933546e+00    7.082345e+00
   6.921641e+00    7.088575e+00
   6.909232e+00    7.094619e+00
   6.896371e+00    7.100440e+00
   6.883096e+00    7.106016e+00
   6.869438e+00    7.111332e+00
   6.855423e+00    7.116382e+00
   6.841072e+00    7.121160e+00
   6.826403e+00    7.125665e+00
   6.811434e+00    7.129897e+00
   6.796182e+00    7.133858e+00
   6.780660e+00    7.137550e+00
   6.764884e+00    7.140977e+00
   6.748868e+00    7.144143e+00
   6.732624e+00    7.147053e+00
   6.716168e+00    7.149710e+00
   6.699510e+00    7.152122e+00
   6.682666e+00    7.154292e+00
   6.665646e+00    7.156227e+00
   6.648465e+00    7.157933e+00
   6.631135e+00    7.159415e+00
   6.613668e+00    7.160680e+00
   6.596077e+00    7.161734e+00
   6.578375e+00    7.162582e+00
   6.560573e+00    7.163232e+00
   6.542685e+00    7.163690e+00
   6.524723e+00    7.163961e+00
   6.506698e+00    7.164053e+00
