Label          k_x          k_y          k_z            r_b1         r_b2         r_b3
GAMMA   0.00000000   0.00000000   0.00000000      0.00000000   0.00000000   0.00000000
Y2     -0.44310193   0.25582502   0.00000000     -0.50000000   0.50000000   0.00000000
Y4      0.44310193  -0.25582502  -0.00000000      0.50000000  -0.50000000  -0.00000000
A       0.00000000   0.00000000   0.10471976      0.00000000   0.00000000   0.50000000
M2     -0.44310193   0.25582502   0.10471976     -0.50000000   0.50000000   0.50000000
V       0.44310193   0.25582502  -0.00000000      0.50000000   0.00000000  -0.00000000
V2     -0.00000000   0.51165003   0.00000000     -0.00000000   0.50000000   0.00000000
L2     -0.00000000   0.51165003   0.10471976     -0.00000000   0.50000000   0.50000000
C       0.29540128   0.51165003   0.00000000      0.33333333   0.33333333   0.00000000
C2     -0.29540128   0.51165003   0.00000000     -0.33333333   0.66666667   0.00000000
C4      0.59080257   0.00000000  -0.00000000      0.66666667  -0.33333333  -0.00000000
D      -0.29540128   0.51165003   0.10471976     -0.33333333   0.66666667   0.50000000
D2      0.29540128   0.51165003   0.10471976      0.33333333   0.33333333   0.50000000
E      -0.44310193   0.25582502   0.10471976     -0.50000000   0.50000000   0.50000000
E2     -0.44310193   0.25582502   0.10471976     -0.50000000   0.50000000   0.50000000
E4      0.44310193  -0.25582502   0.10471976      0.50000000  -0.50000000   0.50000000
