         mode 1          mode 2
   1.230929e+00    2.540205e+00
   1.232241e+00    2.541527e+00
   1.236157e+00    2.545543e+00
   1.242674e+00    2.552250e+00
   1.251788e+00    2.561643e+00
   1.263493e+00    2.573711e+00
   1.277782e+00    2.588446e+00
   1.294644e+00    2.605832e+00
   1.314070e+00    2.625854e+00
   1.336044e+00    2.648493e+00
   1.360553e+00    2.673726e+00
   1.387577e+00    2.701531e+00
   1.417098e+00    2.731879e+00
   1.449093e+00    2.764739e+00
   1.483538e+00    2.800079e+00
   1.520405e+00    2.837861e+00
   1.559665e+00    2.878047e+00
   1.601287e+00    2.920593e+00
   1.645235e+00    2.965454e+00
   1.691472e+00    3.012581e+00
   1.739959e+00    3.061921e+00
   1.790654e+00    3.113419e+00
   1.843511e+00    3.167018e+00
   1.898484e+00    3.222657e+00
   1.955523e+00    3.280270e+00
   2.014574e+00    3.339791e+00
   2.075585e+00    3.401151e+00
   2.138498e+00    3.464277e+00
   2.203253e+00    3.529093e+00
   2.269789e+00    3.595523e+00
   2.338044e+00    3.663485e+00
   2.407950e+00    3.732898e+00
   2.479442e+00    3.803677e+00
   2.552448e+00    3.875734e+00
   2.626899e+00    3.948982e+00
   2.702721e+00    4.023329e+00
   2.779840e+00    4.098683e+00
   2.858179e+00    4.174950e+00
   2.937662e+00    4.252034e+00
   3.018209e+00    4.329837e+00
   3.099741e+00    4.408263e+00
   3.182177e+00    4.487211e+00
   3.265434e+00    4.566581e+00
   3.349430e+00    4.646271e+00
   3.434082e+00    4.726182e+00
   3.519304e+00    4.806209e+00
   3.605013e+00    4.886252e+00
   3.691124e+00    4.966206e+00
   3.777551e+00    5.045971e+00
   3.864209e+00    5.125442e+00
   3.951013e+00    5.204520e+00
   4.037877e+00    5.283101e+00
   4.124718e+00    5.361085e+00
   4.211450e+00    5.438373e+00
   4.297991e+00    5.514866e+00
   4.384256e+00    5.590467e+00
   4.470164e+00    5.665078e+00
   4.555635e+00    5.738607e+00
   4.640587e+00    5.810961e+00
   4.724943e+00    5.882049e+00
   4.808624e+00    5.951782e+00
   4.891557e+00    6.020074e+00
   4.973666e+00    6.086842e+00
   5.054879e+00    6.152005e+00
   5.135127e+00    6.215484e+00
   5.214340e+00    6.277204e+00
   5.292454e+00    6.337094e+00
   5.369404e+00    6.395083e+00
   5.445129e+00    6.451107e+00
   5.519571e+00    6.505103e+00
   5.592672e+00    6.557014e+00
   5.664381e+00    6.606784e+00
   5.734645e+00    6.654364e+00
   5.803417e+00    6.699705e+00
   5.870652e+00    6.742767e+00
   5.936308e+00    6.783510e+00
   6.000346e+00    6.821900e+00
   6.062730e+00    6.857908e+00
   6.123427e+00    6.891509e+00
   6.182407e+00    6.922681e+00
   6.239645e+00    6.951409e+00
   6.295115e+00    6.977681e+00
   6.348799e+00    7.001490e+00
   6.400679e+00    7.022834e+00
   6.450741e+00    7.041715e+00
   6.498973e+00    7.058141e+00
   6.545368e+00    7.072125e+00
   6.589919e+00    7.083683e+00
   6.632623e+00    7.092839e+00
   6.673479e+00    7.099620e+00
   6.712487e+00    7.104060e+00
   6.749648e+00    7.106202e+00
   6.784962e+00    7.106093e+00
   6.818425e+00    7.103793e+00
   6.850026e+00    7.099376e+00
   6.879736e+00    7.092942e+00
   6.907485e+00    7.084635e+00
   6.933114e+00    7.074699e+00
   6.956219e+00    7.063623e+00
   6.975654e+00    7.052651e+00
   6.987958e+00    7.045342e+00
   6.987106e+00    7.047826e+00
   6.987443e+00    7.047522e+00
   6.982334e+00    7.052211e+00
   6.975037e+00    7.058289e+00
   6.966271e+00    7.065053e+00
   6.956468e+00    7.072084e+00
   6.945877e+00    7.079149e+00
   6.934646e+00    7.086115e+00
   6.922868e+00    7.092904e+00
   6.910605e+00    7.099472e+00
   6.897902e+00    7.105788e+00
   6.884791e+00    7.111837e+00
   6.871299e+00    7.117609e+00
   6.857449e+00    7.123097e+00
   6.843260e+00    7.128300e+00
   6.828749e+00    7.133217e+00
   6.813932e+00    7.137849e+00
   6.798824e+00    7.142199e+00
   6.783440e+00    7.146271e+00
   6.767794e+00    7.150068e+00
   6.751898e+00    7.153595e+00
   6.735766e+00    7.156856e+00
   6.719412e+00    7.159857e+00
   6.702847e+00    7.162603e+00
   6.686085e+00    7.165099e+00
   6.669138e+00    7.167353e+00
   6.652019e+00    7.169368e+00
   6.634741e+00    7.171152e+00
   6.617315e+00    7.172711e+00
   6.599755e+00    7.174051e+00
   6.582073e+00    7.175178e+00
   6.564280e+00    7.176098e+00
   6.546391e+00    7.176818e+00
   6.528416e+00    7.177345e+00
   6.510368e+00    7.177684e+00
   6.492260e+00    7.177843e+00
