         mode 1          mode 2
   8.462609e-01    4.908773e+00
   8.478261e-01    4.909628e+00
   8.525139e-01    4.912270e+00
   8.603205e-01    4.916696e+00
   8.712393e-01    4.922902e+00
   8.852613e-01    4.930884e+00
   9.023747e-01    4.940636e+00
   9.225652e-01    4.952149e+00
   9.458158e-01    4.965415e+00
   9.721067e-01    4.980423e+00
   1.001416e+00    4.997159e+00
   1.033718e+00    5.015611e+00
   1.068985e+00    5.035761e+00
   1.107186e+00    5.057594e+00
   1.148289e+00    5.081088e+00
   1.192257e+00    5.106224e+00
   1.239052e+00    5.132978e+00
   1.288630e+00    5.161325e+00
   1.340949e+00    5.191239e+00
   1.395960e+00    5.222690e+00
   1.453614e+00    5.255648e+00
   1.513858e+00    5.290079e+00
   1.576635e+00    5.325949e+00
   1.641888e+00    5.363221e+00
   1.709556e+00    5.401855e+00
   1.779575e+00    5.441811e+00
   1.851879e+00    5.483044e+00
   1.926398e+00    5.525511e+00
   2.003063e+00    5.569162e+00
   2.081798e+00    5.613950e+00
   2.162529e+00    5.659822e+00
   2.245178e+00    5.706725e+00
   2.329663e+00    5.754605e+00
   2.415903e+00    5.803403e+00
   2.503814e+00    5.853060e+00
   2.593309e+00    5.903517e+00
   2.684301e+00    5.954711e+00
   2.776700e+00    6.006577e+00
   2.870416e+00    6.059051e+00
   2.965357e+00    6.112064e+00
   3.061428e+00    6.165548e+00
   3.158536e+00    6.219434e+00
   3.256585e+00    6.273651e+00
   3.355478e+00    6.328126e+00
   3.455118e+00    6.382786e+00
   3.555409e+00    6.437557e+00
   3.656251e+00    6.492365e+00
   3.757546e+00    6.547133e+00
   3.859196e+00    6.601787e+00
   3.961102e+00    6.656249e+00
   4.063167e+00    6.710443e+00
   4.165292e+00    6.764292e+00
   4.267379e+00    6.817719e+00
   4.369332e+00    6.870648e+00
   4.471055e+00    6.923002e+00
   4.572452e+00    6.974706e+00
   4.673430e+00    7.025684e+00
   4.773895e+00    7.075861e+00
   4.873757e+00    7.125165e+00
   4.972924e+00    7.173523e+00
   5.071309e+00    7.220863e+00
   5.168826e+00    7.267116e+00
   5.265389e+00    7.312214e+00
   5.360915e+00    7.356089e+00
   5.455325e+00    7.398678e+00
   5.548541e+00    7.439917e+00
   5.640486e+00    7.479747e+00
   5.731088e+00    7.518109e+00
   5.820276e+00    7.554948e+00
   5.907982e+00    7.590211e+00
   5.994141e+00    7.623848e+00
   6.078691e+00    7.655812e+00
   6.161572e+00    7.686058e+00
   6.242728e+00    7.714548e+00
   6.322107e+00    7.741242e+00
   6.399657e+00    7.766108e+00
   6.475331e+00    7.789117e+00
   6.549085e+00    7.810241e+00
   6.620878e+00    7.829460e+00
   6.690671e+00    7.846756e+00
   6.758428e+00    7.862117e+00
   6.824116e+00    7.875534e+00
   6.887704e+00    7.887005e+00
   6.949163e+00    7.896532e+00
   7.008465e+00    7.904125e+00
   7.065583e+00    7.909799e+00
   7.120491e+00    7.913577e+00
   7.173161e+00    7.915491e+00
   7.223560e+00    7.915583e+00
   7.271654e+00    7.913910e+00
   7.317397e+00    7.910540e+00
   7.360730e+00    7.905567e+00
   7.401575e+00    7.899111e+00
   7.439819e+00    7.891331e+00
   7.475302e+00    7.882441e+00
   7.507791e+00    7.872736e+00
   7.536941e+00    7.862629e+00
   7.562253e+00    7.852693e+00
   7.583023e+00    7.843714e+00
   7.598345e+00    7.836683e+00
   7.607262e+00    7.832651e+00
   7.609110e+00    7.832378e+00
   7.608685e+00    7.832844e+00
   7.607078e+00    7.834011e+00
   7.603767e+00    7.836094e+00
   7.598861e+00    7.838998e+00
   7.592497e+00    7.842600e+00
   7.584818e+00    7.846771e+00
   7.575969e+00    7.851382e+00
   7.566081e+00    7.856314e+00
   7.555277e+00    7.861462e+00
   7.543660e+00    7.866737e+00
   7.531321e+00    7.872063e+00
   7.518339e+00    7.877378e+00
   7.504779e+00    7.882633e+00
   7.490700e+00    7.887786e+00
   7.476150e+00    7.892804e+00
   7.461172e+00    7.897661e+00
   7.445803e+00    7.902337e+00
   7.430077e+00    7.906816e+00
   7.414023e+00    7.911086e+00
   7.397668e+00    7.915137e+00
   7.381036e+00    7.918963e+00
   7.364149e+00    7.922558e+00
   7.347028e+00    7.925921e+00
   7.329692e+00    7.929050e+00
   7.312159e+00    7.931945e+00
   7.294448e+00    7.934607e+00
   7.276573e+00    7.937037e+00
   7.258551e+00    7.939238e+00
   7.240398e+00    7.941213e+00
   7.222128e+00    7.942966e+00
   7.203755e+00    7.944501e+00
   7.185293e+00    7.945822e+00
   7.166757e+00    7.946935e+00
   7.148159e+00    7.947844e+00
   7.129512e+00    7.948556e+00
   7.110831e+00    7.949075e+00
   7.092126e+00    7.949408e+00
   7.073411e+00    7.949560e+00
   7.054699e+00    7.949537e+00
   7.036001e+00    7.949347e+00
   7.017330e+00    7.948994e+00
   6.998697e+00    7.948486e+00
   6.980115e+00    7.947829e+00
   6.961595e+00    7.947029e+00
   6.943148e+00    7.946093e+00
   6.924787e+00    7.945027e+00
   6.906522e+00    7.943839e+00
   6.888365e+00    7.942534e+00
   6.870326e+00    7.941119e+00
   6.852417e+00    7.939600e+00
   6.834649e+00    7.937984e+00
   6.817031e+00    7.936278e+00
   6.799575e+00    7.934488e+00
   6.782292e+00    7.932620e+00
   6.765190e+00    7.930681e+00
   6.748282e+00    7.928677e+00
   6.731575e+00    7.926613e+00
   6.715081e+00    7.924497e+00
   6.698810e+00    7.922334e+00
   6.682769e+00    7.920131e+00
   6.666970e+00    7.917892e+00
   6.651421e+00    7.915625e+00
   6.636131e+00    7.913334e+00
   6.621110e+00    7.911025e+00
   6.606365e+00    7.908705e+00
   6.591906e+00    7.906377e+00
   6.577740e+00    7.904049e+00
   6.563877e+00    7.901723e+00
   6.550324e+00    7.899407e+00
   6.537088e+00    7.897105e+00
   6.524178e+00    7.894822e+00
   6.511601e+00    7.892562e+00
   6.499364e+00    7.890330e+00
   6.487474e+00    7.888130e+00
   6.475938e+00    7.885968e+00
   6.464763e+00    7.883847e+00
   6.453955e+00    7.881771e+00
   6.443520e+00    7.879745e+00
   6.433463e+00    7.877771e+00
   6.423792e+00    7.875855e+00
   6.414511e+00    7.873999e+00
   6.405626e+00    7.872206e+00
   6.397141e+00    7.870481e+00
   6.389062e+00    7.868825e+00
   6.381393e+00    7.867243e+00
   6.374139e+00    7.865736e+00
   6.367303e+00    7.864308e+00
   6.360889e+00    7.862961e+00
   6.354902e+00    7.861697e+00
