         e_x          e_y          e_z
  0.74224823   0.64456783  -0.18330270
  0.20542003   0.95100137   0.23108223
 -0.59008667   0.33854566  -0.73292875
 -0.59472085  -0.33254082  -0.73193150
  0.43186218   0.60140744  -0.67216378
 -0.43863563   0.72863964  -0.52600671
 -0.59265455  -0.12378576   0.79588798
 -0.48068705  -0.27487929   0.83269522
 -0.43883046   0.51004781   0.73978312
  0.36993616   0.06998089  -0.92641779
  0.52939074  -0.69963335   0.47985272
 -0.20719604   0.86052886  -0.46535995
 -0.47394902   0.73673805  -0.48227520
 -0.39115851  -0.91546980  -0.09439317
 -0.31635133  -0.72325266   0.61386271
  0.10198070   0.42194843   0.90086595
 -0.35427167  -0.69286580  -0.62803548
 -0.79498013   0.48565920  -0.36351303
  0.40536885  -0.88398384  -0.23291345
 -0.42817261   0.77914288  -0.45782594
 -0.29259794   0.40889924   0.86440029
 -0.28472186  -0.92191345  -0.26269574
  0.19911652  -0.78178493   0.59090179
 -0.60784570  -0.26491811  -0.74855995
 -0.39515622  -0.41315814  -0.82045835
 -0.74788523   0.65316986   0.11847703
 -0.98021967   0.00456977   0.19785982
  0.41036027  -0.24488951   0.87842676
  0.50212170  -0.86434596  -0.02792577
 -0.32777223  -0.60331645  -0.72703138
  0.89518856  -0.16352383   0.41460510
 -0.01329898   0.88366112  -0.46793820
 -0.36356455  -0.85001086  -0.38118546
 -0.03384663  -0.71259923  -0.70075441
 -0.74378499  -0.10003845  -0.66089046
  0.27992280  -0.93627364   0.21221428
 -0.25942939  -0.31282071   0.91369557
  0.45400542  -0.83297794  -0.31627019
 -0.37903298   0.35410212   0.85495362
 -0.49352004  -0.30064475  -0.81611929
 -0.54852406   0.54951750   0.63019986
  0.79569248   0.52922498   0.29460889
  0.73590598  -0.60252329   0.30888197
  0.40623239   0.73497276  -0.54294593
 -0.35093944  -0.64181389   0.68184781
 -0.52443940  -0.84459393   0.10781651
  0.61170302   0.17827790   0.77073757
 -0.79772141   0.29924836   0.52353699
  0.16940277   0.58904548  -0.79014437
 -0.01390979   0.78823464  -0.61521758
